RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_20	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_COUNT_23	IA_FSA_DURATION_20	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_FSA_DURATION_23	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	stimulus_duration	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[0]	true	1763998	2	from_reaction	true	1759771	Fixations	3965.00	9	1	Trial: 1	1751652	0	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	1	False	(255, 255, 255, 255)	white	w_minion64.mp4	fam	11-1	30.3	1	10000	11	1	fam	fam_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[22, 0, 21, 22]	true	1784090	2	from_reaction	true	1770865	Fixations	12908.00	6	3	Trial: 2	1764681	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion64.mp4	CG	11-1	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	170574.22	6863.00	759	3483	0.2698	true	13225	997	3	.	[22]	3	6831	1	706.40	247.70	0	3483	10731	0.5000	3	149.90	2.10	6831	2.51	-15.41	6829	2	6803	0.5000	3	0	2	1	.	0	2487	8512	.	.	21	9	leaving_agent	2097	1	8635	962.30	277.90	3483	10731	0.5000	3	149.90	2.10	6831	0.46	97.46	8634	4	8616	561	0	0	7310.00	6578.00	.	0	0	0	0	0	0	3835	790	1	389	1	8226	960.00	334.70	.	.	.	.	.	.	.	3835	1	.	-5798	2097	1	8635	962.30	277.90	.	.	.	.	.	.	.	95	RECTANGLE	[22, 0, 21, 22]	true	1784090	2	from_reaction	true	1770865	Fixations	12908.00	6	3	Trial: 2	1764681	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion64.mp4	CG	11-1	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	207832.00	7540.50	759	8842	0.6850	true	13226	329	1	.	.	1	6184	0	272.10	270.50	1	329	6512	0.1667	1	253.10	.	6184	.	.	.	.	.	0.3333	2	0	0	0	.	0	0	0	.	.	22	2	inviting_agent	8513	2	10897	210.10	257.40	8513	19409	0.1667	1	181.10	-943.30	10897	22.37	176.71	10896	5	10732	19	0	0	8062.00	7019.00	.	0	0	0	0	0	0	12676	395	2	8513	2	10897	210.10	257.40	8513	19409	0.1667	1	181.10	-943.30	10897	8841	0	.	-5798	.	.	.	.	.	.	.	.	.	.	.	.	95	RECTANGLE	[22, 0, 21, 22]	true	1784090	2	from_reaction	true	1770865	Fixations	12908.00	6	3	Trial: 2	1764681	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_1	2	False	(255, 255, 255, 255)	white	w_minion64.mp4	CG	11-1	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[0]	true	4136492	2	from_reaction	true	4132266	Fixations	4096.00	4	1	Trial: 1	4125870	0	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	1	False	(255, 255, 255, 255)	white	w_mouse64.mp4	fam	11-2	30.3	2	10000	11	1	fam	fam_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0.0000	false	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0.0000	0	0	0	0	.	0	0	0	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[22, 21, 22, 0, 22, 0]	true	4184173	2	from_reaction	true	4170950	Fixations	10558.00	8	3	Trial: 2	4137208	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	(255, 255, 255, 255)	white	w_mouse64.mp4	GG	11-2	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	170574.22	6304.33	759	5186	0.4912	true	13223	426	2	22	[22]	2	33922	1	641.30	244.80	0	5186	39347	0.3750	3	80.30	287.50	33922	10.24	9.48	33921	1	33839	0.3750	3	0	2	1	.	0	4885	2804	.	.	21	9	leaving_agent	4125	1	35191	828.00	327.00	5186	39347	0.3750	3	80.30	287.50	33922	2.74	-12.03	35190	3	35161	561	0	0	6722.00	5846.00	.	1	1	0	0	0	0	5376	790	1	635	1	34433	680.50	320.90	.	.	.	.	.	.	.	5376	1	.	-5800	4125	1	35191	828.00	327.00	.	.	.	.	.	.	.	95	RECTANGLE	[22, 21, 22, 0, 22, 0]	true	4184173	2	from_reaction	true	4170950	Fixations	10558.00	8	3	Trial: 2	4137208	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	(255, 255, 255, 255)	white	w_mouse64.mp4	GG	11-2	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	208828.00	7117.33	759	3532	0.3345	true	13224	97	1	.	.	1	33742	0	273.50	300.70	1	97	33838	0.1250	1	199.50	.	33742	.	.	.	.	.	0.3750	3	0	1	0	.	0	491	0	.	.	22	4	pointing_agent	631	3	43858	173.40	180.50	631	44488	0.1250	1	144.40	-553.70	43858	12.83	172.60	43857	6	43769	74	0	0	7296.00	6880.00	.	0	0	1	1	1	1	8908	450	3	2804	2	39466	227.20	196.80	2804	42269	0.1250	1	198.20	-754.00	39466	3532	0	.	-5800	631	3	43858	173.40	180.50	631	44488	0.1250	1	144.40	-553.70	43858	95	RECTANGLE	[22, 21, 22, 0, 22, 0]	true	4184173	2	from_reaction	true	4170950	Fixations	10558.00	8	3	Trial: 2	4137208	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_2	2	False	(255, 255, 255, 255)	white	w_mouse64.mp4	GG	11-2	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	5902.33	534	1463	0.3665	false	.	265	4	.	.	2	7311	0	571.70	256.70	1	1463	8845	0.4286	3	209.70	-19.00	7311	3.60	-11.38	7310	3	7278	0.4286	3	2	.	.	.	1198	.	.	.	.	20	.	FIXATION_TRIGGER	288	1	8558	454.90	281.60	1463	8845	0.4286	3	209.70	-19.00	7311	4.26	163.64	8557	5	8513	362	1	1	6100.00	5609.00	.	0	0	0	0	0	0	1463	662	1	910	1	7603	629.60	330.40	.	.	.	.	.	.	.	1463	0	.	.	288	1	8558	454.90	281.60	.	.	.	.	.	.	.	234	ELLIPSE	[0, 20, 0]	true	662215	2	from_reaction	true	657989	Fixations	3992.00	7	1	Trial: 1	652084	1	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	1	False	(255, 255, 255, 255)	white	w_fly64.mp4	fam	11-3	30.3	3	10000	11	1	fam	fam_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	6031.33	534	4152	0.3444	false	.	542	2	21	[21]	2	31504	1	617.70	352.20	0	4152	35692	0.4286	3	255.70	-322.20	31504	1.53	-134.63	31503	1	31483	0.4286	3	2	0	0	.	3610	0	0	.	.	20	.	FIXATION_TRIGGER	1556	1	34137	462.60	299.70	4152	35692	0.4286	3	255.70	-322.20	31504	1.48	144.46	34136	3	34111	362	0	0	6173.00	5898.00	.	1	1	0	0	0	0	4152	662	1	2054	1	32057	530.80	373.10	.	.	.	.	.	.	.	4152	1	.	.	1556	1	34137	462.60	299.70	.	.	.	.	.	.	.	234	ELLIPSE	[21, 20, 0, 21]	true	707258	2	from_reaction	true	694060	Fixations	12055.00	7	3	Trial: 2	662894	2	[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]	(512, 384)	.	0	Ace_3	2	False	(255, 255, 255, 255)	white	w_fly64.mp4	GA	11-3	30.3	3	19000	11	3	incong	GA_100.mp4
