RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_20	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_COUNT_23	IA_FSA_DURATION_20	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_FSA_DURATION_23	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	stimulus_duration	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	6686	534	893	0.0966	FALSE	.	201	1	.	.	1	2329	0	556	300.5	1	201	2529	0.0417	1	194	.	2329	.	.	.	.	.	0.125	3	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	561	3	7120	593.9	306.3	561	7680	0.0417	1	231.9	-245	7120	1.88	-104.92	7119	12	7075	362	1	1	6984	6217	.	0	0	0	0	0	0	893	662	3	131	2	4917	584.1	254.3	131	5047	0.0417	1	222.1	-284.1	4917	893	0	.	.	561	3	7120	593.9	306.3	561	7680	0.0417	1	231.9	-245	7120	234	ELLIPSE	"[20, 0, 20, 0, 20, 0]"	TRUE	1763998	1	video	TRUE	1753981	Fixations	9242	24	1	Trial: 1	1751652	1	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	1	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	fam	11-Jan	30.3	1	10000	11	1	fam	fam_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	6430	534	183	0.0099	FALSE	.	183	1	.	.	1	386	0	418.6	301	1	183	568	0.1	1	56.6	.	386	.	.	.	.	.	0.1	1	0	0	0	.	0	0	0	.	.	20	.	FIXATION_TRIGGER	183	1	386	418.6	301	183	568	0.1	1	56.6	.	386	.	.	.	.	.	362	1	1	6430	6430	.	0	0	0	0	0	0	183	662	1	.	.	.	.	.	.	.	.	.	.	.	.	183	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	"[20, 0, 22, 0, 22, 0, 21, 22]"	TRUE	1784090	1	video	TRUE	1765067	Fixations	18537	10	3	Trial: 2	1764681	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	170574.22	6863	759	3483	0.1879	TRUE	19023	997	7	.	"[22, 20]"	7	6831	2	706.4	247.7	0	3483	10731	0.3	3	149.9	2.1	6831	2.51	-15.41	6829	6	6803	0.3	3	0	2	1	.	0	2487	8512	.	.	21	9	leaving_agent	2097	1	8635	962.3	277.9	3483	10731	0.3	3	149.9	2.1	6831	0.46	97.46	8634	8	8616	561	0	0	7310	6578	.	0	0	0	0	0	0	3835	790	1	389	1	8226	960	334.7	.	.	.	.	.	.	.	3835	1	.	0	2097	1	8635	962.3	277.9	.	.	.	.	.	.	.	95	RECTANGLE	"[20, 0, 22, 0, 22, 0, 21, 22]"	TRUE	1784090	1	video	TRUE	1765067	Fixations	18537	10	3	Trial: 2	1764681	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	207832	7710	759	11645	0.6282	TRUE	19024	1897	3	.	[20]	3	2942	1	281.2	232.7	1	1897	4838	0.1	1	262.2	-517.3	2942	8.11	-175.45	2941	2	2886	0.3	3	0	0	0	.	0	0	0	.	.	22	2	inviting_agent	8513	3	10897	210.1	257.4	8513	19409	0.1	1	181.1	-943.3	10897	22.37	176.71	10896	9	10732	19	0	0	8062	7019	.	0	0	0	0	0	0	15479	395	3	1235	2	5278	272.1	270.5	1235	6512	0.1	1	253.1	-424.4	5278	11644	0	.	0	8513	3	10897	210.1	257.4	8513	19409	0.1	1	181.1	-943.3	10897	95	RECTANGLE	"[20, 0, 22, 0, 22, 0, 21, 22]"	TRUE	1784090	1	video	TRUE	1765067	Fixations	18537	10	3	Trial: 2	1764681	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	6430.67	534	1459	0.1551	FALSE	.	165	1	.	.	1	605	0	503	236.4	1	165	769	0.0625	1	141	.	605	.	.	.	.	.	0.1875	3	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	797	3	5224	553.7	299.3	797	6020	0.0625	1	191.7	-154.2	5224	1.78	-66.14	5223	10	5197	362	1	1	7106	5932	.	0	0	0	0	0	0	1459	662	3	497	2	2341	517.9	285.1	497	2837	0.0625	1	155.9	12	2341	1459	0	.	.	797	3	5224	553.7	299.3	797	6020	0.0625	1	191.7	-154.2	5224	234	ELLIPSE	"[20, 0, 20, 0, 20, 0]"	TRUE	4136492	1	video	TRUE	4126475	Fixations	9409	16	1	Trial: 1	4125870	1	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	1	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	fam	11-Feb	30.3	2	10000	11	1	fam	fam_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	6251	534	605	0.0377	FALSE	.	605	3	.	[21]	3	29459	1	503.3	293.7	0	605	30063	0.0667	1	141.3	-580.8	29459	13.66	171.75	29458	2	29386	0.0667	1	0	1	0	.	0	871	0	.	.	20	.	FIXATION_TRIGGER	605	1	29459	503.3	293.7	605	30063	0.0667	1	141.3	-580.8	29459	13.66	171.75	29458	2	29386	362	0	0	6251	6251	.	0	0	0	0	0	0	605	662	1	.	.	.	.	.	.	.	.	.	.	.	.	605	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	"[21, 0, 20, 21, 0, 22, 21, 22, 0, 22, 0]"	TRUE	4184173	1	video	TRUE	4165150	Fixations	16059	15	3	Trial: 2	4137208	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	170574.22	6094.4	759	7184	0.4474	TRUE	19023	1157	1	.	.	1	27942	0	684.4	299.5	1	1157	29098	0.0667	1	123.4	.	27942	.	.	.	.	.	0.3333	5	0	2	1	.	0	4885	2804	.	.	21	9	leaving_agent	4125	3	35191	828	327	5186	39347	0.2	3	80.3	287.5	33922	2.74	-12.03	35190	10	35161	561	0	0	6722	5704	.	1	1	0	0	0	0	2633	790	3	841	2	30107	670.4	245.6	841	30977	0.0667	1	109.4	57.7	30107	2028	0	1232	0	426	3	33922	641.3	244.8	5186	39347	0.2	3	80.3	287.5	33922	95	RECTANGLE	"[21, 0, 20, 21, 0, 22, 21, 22, 0, 22, 0]"	TRUE	4184173	1	video	TRUE	4165150	Fixations	16059	15	3	Trial: 2	4137208	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	208828	6763	759	5934	0.3695	TRUE	19024	1173	6	.	"[21, 20]"	6	31227	2	408.1	220.9	1	2499	33838	0.2	3	334.1	-382.8	31227	0.78	151.72	31226	5	31210	0.3333	5	0	1	2	.	0	491	1327	.	.	22	4	pointing_agent	631	3	43858	173.4	180.5	631	44488	0.0667	1	144.4	-553.7	43858	12.83	172.6	43857	13	43769	74	1	0	7296	6096	.	0	0	1	1	1	1	11370	450	3	558	1	32496	305.6	284.1	2804	42269	0.0667	1	198.2	-754	39466	5994	0	.	0	768	1	33071	273.5	300.7	631	44488	0.0667	1	144.4	-553.7	43858	95	RECTANGLE	"[21, 0, 20, 21, 0, 22, 21, 22, 0, 22, 0]"	TRUE	4184173	1	video	TRUE	4165150	Fixations	16059	15	3	Trial: 2	4137208	3	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	6062.92	534	4987	0.5365	FALSE	.	188	1	.	.	1	114	0	544.2	355.5	1	1336	1472	0.1	2	182.2	.	114	.	.	.	.	.	0.6	12	8	.	.	.	4022	.	.	.	.	20	.	FIXATION_TRIGGER	288	4	8558	454.9	281.6	1463	8845	0.15	3	209.7	-19	7311	4.26	163.64	8557	18	8513	362	1	1	6565	5609	.	0	0	0	0	0	0	4987	662	4	1148	1	325	524.3	277.8	1090	2917	0.2	4	193.1	-96.1	1715	4987	0	.	.	226	2	1715	555.1	250	1098	5770	0.15	3	239.4	-88.7	4584	234	ELLIPSE	"[20, 0, 20, 0, 20, 0, 20, 0]"	TRUE	662215	1	video	TRUE	652198	Fixations	9295	20	1	Trial: 1	652084	1	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_3	1	FALSE	"(255, 255, 255, 255)"	white	w_fly64.mp4	fam	11-Mar	30.3	3	10000	11	1	fam	fam_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	5956.8	534	4838	0.2753	FALSE	.	367	2	.	.	2	25641	0	582.9	316.4	1	367	26007	0.0833	1	220.9	-92	25641	6.22	-55.93	25640	2	25589	0.4167	5	2	2	0	.	3610	4183	0	.	.	20	.	FIXATION_TRIGGER	1556	3	34137	462.6	299.7	4152	35692	0.25	3	255.7	-322.2	31504	1.48	144.46	34136	9	34111	362	1	1	6173	5711	.	1	2	0	0	0	0	367	662	3	319	2	30027	459.2	275.3	319	30345	0.0833	1	97.2	-408.9	30027	367	0	3894	.	542	3	31504	617.7	352.2	4152	35692	0.25	3	255.7	-322.2	31504	234	ELLIPSE	"[0, 20, 21, 20, 21, 20, 0, 21]"	TRUE	707258	1	video	TRUE	688261	Fixations	17572	12	3	Trial: 2	662894	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_3	2	FALSE	"(255, 255, 255, 255)"	white	w_fly64.mp4	GA	11-Mar	30.3	3	19000	11	3	incong	GA_100.mp4
