RECORDING_SESSION_LABEL	TRIAL_INDEX	DATA_FILE	EYE_USED	GROUPING_VARIABLES	IA_AREA	IA_AVERAGE_FIX_PUPIL_SIZE	IA_BOTTOM	IA_DWELL_TIME	IA_DWELL_TIME_%	IA_DYNAMIC	IA_END_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIXATION_TIME	IA_FIRST_FIXATION_VISITED_IA_COUNT	IA_FIRST_FIXATION_X	IA_FIRST_FIXATION_Y	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_END_TIME	IA_FIRST_RUN_FIXATION_%	IA_FIRST_RUN_FIXATION_COUNT	IA_FIRST_RUN_LANDING_POSITION	IA_FIRST_RUN_LAUNCH_SITE	IA_FIRST_RUN_START_TIME	IA_FIRST_SACCADE_AMPLITUDE	IA_FIRST_SACCADE_ANGLE	IA_FIRST_SACCADE_END_TIME	IA_FIRST_SACCADE_INDEX	IA_FIRST_SACCADE_START_TIME	IA_FIXATION_%	IA_FIXATION_COUNT	IA_FSA_COUNT_20	IA_FSA_COUNT_21	IA_FSA_COUNT_22	IA_FSA_COUNT_23	IA_FSA_DURATION_20	IA_FSA_DURATION_21	IA_FSA_DURATION_22	IA_FSA_DURATION_23	IA_GROUP	IA_ID	IA_INSTANCES_COUNT	IA_LABEL	IA_LAST_FIXATION_DURATION	IA_LAST_FIXATION_RUN	IA_LAST_FIXATION_TIME	IA_LAST_FIXATION_X	IA_LAST_FIXATION_Y	IA_LAST_RUN_DWELL_TIME	IA_LAST_RUN_END_TIME	IA_LAST_RUN_FIXATION_%	IA_LAST_RUN_FIXATION_COUNT	IA_LAST_RUN_LANDING_POSITION	IA_LAST_RUN_LAUNCH_SITE	IA_LAST_RUN_START_TIME	IA_LAST_SACCADE_AMPLITUDE	IA_LAST_SACCADE_ANGLE	IA_LAST_SACCADE_END_TIME	IA_LAST_SACCADE_INDEX	IA_LAST_SACCADE_START_TIME	IA_LEFT	IA_LEGAL	IA_LEGAL_IMMEDIATE	IA_MAX_FIX_PUPIL_SIZE	IA_MIN_FIX_PUPIL_SIZE	IA_POINTS	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_REGRESSION_PATH_DURATION	IA_RIGHT	IA_RUN_COUNT	IA_SECOND_FIXATION_DURATION	IA_SECOND_FIXATION_RUN	IA_SECOND_FIXATION_TIME	IA_SECOND_FIXATION_X	IA_SECOND_FIXATION_Y	IA_SECOND_RUN_DWELL_TIME	IA_SECOND_RUN_END_TIME	IA_SECOND_RUN_FIXATION_%	IA_SECOND_RUN_FIXATION_COUNT	IA_SECOND_RUN_LANDING_POSITION	IA_SECOND_RUN_LAUNCH_SITE	IA_SECOND_RUN_START_TIME	IA_SELECTIVE_REGRESSION_PATH_DURATION	IA_SKIP	IA_SPILLOVER	IA_START_TIME	IA_THIRD_FIXATION_DURATION	IA_THIRD_FIXATION_RUN	IA_THIRD_FIXATION_TIME	IA_THIRD_FIXATION_X	IA_THIRD_FIXATION_Y	IA_THIRD_RUN_DWELL_TIME	IA_THIRD_RUN_END_TIME	IA_THIRD_RUN_FIXATION_%	IA_THIRD_RUN_FIXATION_COUNT	IA_THIRD_RUN_LANDING_POSITION	IA_THIRD_RUN_LAUNCH_SITE	IA_THIRD_RUN_START_TIME	IA_TOP	IA_TYPE	INTEREST_AREA_FIXATION_SEQUENCE	IP_END_EVENT_MATCHED	IP_END_TIME	IP_INDEX	IP_LABEL	IP_START_EVENT_MATCHED	IP_START_TIME	REPORTING_METHOD	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_START_TIME	TRIAL_TOTAL_VISITED_IA_COUNT	AG_Audio_LIST	AG_Loc	AG_VIDEO	Drift_Check	Session_Name_	Trial_Index_	Trial_Recycled_	bg_code	bg_name	calibration	condition	dog_session	frame_rate	session_number	stimulus_duration	sub_id	trial_number	trial_type	video_file
Ace_1	1	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0	FALSE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[0]	TRUE	1763998	2	from_reaction	TRUE	1759771	Fixations	3965	9	1	Trial: 1	1751652	0	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	1	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	fam	11-Jan	30.3	1	10000	11	1	fam	fam_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0	FALSE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	0	0	.	0	0	0	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	"[22, 0, 21, 22]"	TRUE	1784090	2	from_reaction	TRUE	1770865	Fixations	12908	6	3	Trial: 2	1764681	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	170574.22	6863	759	3483	0.2698	TRUE	13225	997	3	.	[22]	3	6831	1	706.4	247.7	0	3483	10731	0.5	3	149.9	2.1	6831	2.51	-15.41	6829	2	6803	0.5	3	0	2	1	.	0	2487	8512	.	.	21	9	leaving_agent	2097	1	8635	962.3	277.9	3483	10731	0.5	3	149.9	2.1	6831	0.46	97.46	8634	4	8616	561	0	0	7310	6578	.	0	0	0	0	0	0	3835	790	1	389	1	8226	960	334.7	.	.	.	.	.	.	.	3835	1	.	-5798	2097	1	8635	962.3	277.9	.	.	.	.	.	.	.	95	RECTANGLE	"[22, 0, 21, 22]"	TRUE	1784090	2	from_reaction	TRUE	1770865	Fixations	12908	6	3	Trial: 2	1764681	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_1	2	Ace_1.edf	RIGHT	RECORDING_SESSION	207832	7540.5	759	8842	0.685	TRUE	13226	329	1	.	.	1	6184	0	272.1	270.5	1	329	6512	0.1667	1	253.1	.	6184	.	.	.	.	.	0.3333	2	0	0	0	.	0	0	0	.	.	22	2	inviting_agent	8513	2	10897	210.1	257.4	8513	19409	0.1667	1	181.1	-943.3	10897	22.37	176.71	10896	5	10732	19	0	0	8062	7019	.	0	0	0	0	0	0	12676	395	2	8513	2	10897	210.1	257.4	8513	19409	0.1667	1	181.1	-943.3	10897	8841	0	.	-5798	.	.	.	.	.	.	.	.	.	.	.	.	95	RECTANGLE	"[22, 0, 21, 22]"	TRUE	1784090	2	from_reaction	TRUE	1770865	Fixations	12908	6	3	Trial: 2	1764681	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_1	2	FALSE	"(255, 255, 255, 255)"	white	w_minion64.mp4	CG	11-Jan	30.3	1	19000	11	1	incong	CG_100.mp4
Ace_2	1	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0	FALSE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	.	.	.	0	.	.	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	[0]	TRUE	4136492	2	from_reaction	TRUE	4132266	Fixations	4096	4	1	Trial: 1	4125870	0	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	1	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	fam	11-Feb	30.3	2	10000	11	1	fam	fam_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	70685.83	.	534	0	0	FALSE	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	0	0	0	0	0	.	0	0	0	.	.	20	.	FIXATION_TRIGGER	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	362	0	0	.	.	.	.	.	.	.	.	.	.	662	0	.	.	.	.	.	.	.	.	.	.	.	.	.	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	234	ELLIPSE	"[22, 21, 22, 0, 22, 0]"	TRUE	4184173	2	from_reaction	TRUE	4170950	Fixations	10558	8	3	Trial: 2	4137208	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	170574.22	6304.33	759	5186	0.4912	TRUE	13223	426	2	22	[22]	2	33922	1	641.3	244.8	0	5186	39347	0.375	3	80.3	287.5	33922	10.24	9.48	33921	1	33839	0.375	3	0	2	1	.	0	4885	2804	.	.	21	9	leaving_agent	4125	1	35191	828	327	5186	39347	0.375	3	80.3	287.5	33922	2.74	-12.03	35190	3	35161	561	0	0	6722	5846	.	1	1	0	0	0	0	5376	790	1	635	1	34433	680.5	320.9	.	.	.	.	.	.	.	5376	1	.	-5800	4125	1	35191	828	327	.	.	.	.	.	.	.	95	RECTANGLE	"[22, 21, 22, 0, 22, 0]"	TRUE	4184173	2	from_reaction	TRUE	4170950	Fixations	10558	8	3	Trial: 2	4137208	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_2	2	Ace_2.edf	RIGHT	RECORDING_SESSION	208828	7117.33	759	3532	0.3345	TRUE	13224	97	1	.	.	1	33742	0	273.5	300.7	1	97	33838	0.125	1	199.5	.	33742	.	.	.	.	.	0.375	3	0	1	0	.	0	491	0	.	.	22	4	pointing_agent	631	3	43858	173.4	180.5	631	44488	0.125	1	144.4	-553.7	43858	12.83	172.6	43857	6	43769	74	0	0	7296	6880	.	0	0	1	1	1	1	8908	450	3	2804	2	39466	227.2	196.8	2804	42269	0.125	1	198.2	-754	39466	3532	0	.	-5800	631	3	43858	173.4	180.5	631	44488	0.125	1	144.4	-553.7	43858	95	RECTANGLE	"[22, 21, 22, 0, 22, 0]"	TRUE	4184173	2	from_reaction	TRUE	4170950	Fixations	10558	8	3	Trial: 2	4137208	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_2	2	FALSE	"(255, 255, 255, 255)"	white	w_mouse64.mp4	GG	11-Feb	30.3	2	19000	11	2	cong	GG_100.mp4
Ace_3	1	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	5902.33	534	1463	0.3665	FALSE	.	265	4	.	.	2	7311	0	571.7	256.7	1	1463	8845	0.4286	3	209.7	-19	7311	3.6	-11.38	7310	3	7278	0.4286	3	2	.	.	.	1198	.	.	.	.	20	.	FIXATION_TRIGGER	288	1	8558	454.9	281.6	1463	8845	0.4286	3	209.7	-19	7311	4.26	163.64	8557	5	8513	362	1	1	6100	5609	.	0	0	0	0	0	0	1463	662	1	910	1	7603	629.6	330.4	.	.	.	.	.	.	.	1463	0	.	.	288	1	8558	454.9	281.6	.	.	.	.	.	.	.	234	ELLIPSE	"[0, 20, 0]"	TRUE	662215	2	from_reaction	TRUE	657989	Fixations	3992	7	1	Trial: 1	652084	1	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_3	1	FALSE	"(255, 255, 255, 255)"	white	w_fly64.mp4	fam	11-Mar	30.3	3	10000	11	1	fam	fam_100.mp4
Ace_3	2	Ace_3.edf	RIGHT	RECORDING_SESSION	70685.83	6031.33	534	4152	0.3444	FALSE	.	542	2	21	[21]	2	31504	1	617.7	352.2	0	4152	35692	0.4286	3	255.7	-322.2	31504	1.53	-134.63	31503	1	31483	0.4286	3	2	0	0	.	3610	0	0	.	.	20	.	FIXATION_TRIGGER	1556	1	34137	462.6	299.7	4152	35692	0.4286	3	255.7	-322.2	31504	1.48	144.46	34136	3	34111	362	0	0	6173	5898	.	1	1	0	0	0	0	4152	662	1	2054	1	32057	530.8	373.1	.	.	.	.	.	.	.	4152	1	.	.	1556	1	34137	462.6	299.7	.	.	.	.	.	.	.	234	ELLIPSE	"[21, 20, 0, 21]"	TRUE	707258	2	from_reaction	TRUE	694060	Fixations	12055	7	3	Trial: 2	662894	2	"[Knock.wav, Knock2.wav, Pheasant.wav, Pheasant2.wav, Squeak1.wav, Squeak2.wav, Squeak3.wav]"	"(512, 384)"	.	0	Ace_3	2	FALSE	"(255, 255, 255, 255)"	white	w_fly64.mp4	GA	11-Mar	30.3	3	19000	11	3	incong	GA_100.mp4
